url,section,title,static_html,body_text_chars
https://www.sjsu.edu/housing/apply-for-housing/index.php,housing,Apply for Housing - University Housing | University Housing Services,yes,2071
https://www.sjsu.edu/housing/housing-options/index.php,housing,Student Housing Options - University Housing | University Housing Services,yes,1576
https://www.sjsu.edu/housing/index.php,housing,University Housing | On-Campus Housing | University Housing Services,yes,7463
https://www.sjsu.edu/registrar/about-us/contact-us.php,registrar-enrollment,Contact us | Office of the Registrar,yes,563
https://www.sjsu.edu/registrar/academic-records/change-of-major-minor.php,registrar-enrollment,"Add or Change a Major, Minor, or Certificate | Office of the Registrar",yes,741
https://www.sjsu.edu/registrar/academic-records/reinstatement.php,registrar-enrollment,Reinstatement (Returning from Disqualification) | Office of the Registrar,yes,2871
https://www.sjsu.edu/registrar/academic-records/transcripts.php,registrar-enrollment,Transcripts | Office of the Registrar,yes,656
https://www.sjsu.edu/registrar/academic-records/verify-enrollment.php,registrar-enrollment,Verification of Enrollment or Degree | Office of the Registrar,yes,1573
https://www.sjsu.edu/registrar/calendar/index.php,registrar-enrollment,Registration Calendars - Registrar | Office of the Registrar,yes,457
https://www.sjsu.edu/registrar/index.php,registrar-enrollment,Registrar | Office of the Registrar,yes,1119
https://www.sjsu.edu/registrar/registration/enrollment-limit-waitlist.php,registrar-enrollment,Enrollment Limits and Waitlist | Office of the Registrar,yes,4112
https://www.sjsu.edu/registrar/registration/grading-option.php,registrar-enrollment,Grading Options | Office of the Registrar,yes,1029
https://www.sjsu.edu/registrar/registration/index.php,registrar-enrollment,Registration | Office of the Registrar,yes,796
https://www.sjsu.edu/registrar/registration/leave-of-absence.php,registrar-enrollment,Leave of Absence and Withdrawal | Office of the Registrar,yes,5537
https://www.sjsu.edu/registrar/registration/registration-basics.php,registrar-enrollment,Registration Basics | Office of the Registrar,yes,5235
https://www.sjsu.edu/registrar/registration/registration-holds.php,registrar-enrollment,Registration Holds | Office of the Registrar,yes,2918
https://www.sjsu.edu/registrar/registration/repeat-grade-forgiveness.php,registrar-enrollment,Repeats and Grade Forgiveness - Registrar | Office of the Registrar,yes,2701
https://www.sjsu.edu/isss/about/contact.php,international-isss,International Student Advising - Contact Information,yes,3892
https://www.sjsu.edu/isss/current-students/employment/cpt.php,international-isss,Curricular Practical Training,yes,15237
https://www.sjsu.edu/isss/current-students/employment/economic-hardship.php,international-isss,Economic Hardship,yes,7417
https://www.sjsu.edu/isss/current-students/employment/index.php,international-isss,Employment for International Students | SJSU ISSS,yes,4160
https://www.sjsu.edu/isss/current-students/employment/pre-opt.php,international-isss,Pre Completion OPT,yes,16923
https://www.sjsu.edu/isss/current-students/f1-status/course-load.php,international-isss,Reduced Course Load - International Student and Scholar Services,yes,5409
https://www.sjsu.edu/isss/current-students/f1-status/i20-extension.php,international-isss,I-20 Extension,yes,3872
https://www.sjsu.edu/isss/current-students/f1-status/index.php,international-isss,Maintaining F-1 Status,yes,3855
https://www.sjsu.edu/isss/current-students/f1-status/travel.php,international-isss,Travel and Re-Entry to the United States,yes,7878
https://www.sjsu.edu/isss/current-students/index.php,international-isss,Current F-1 Students,yes,921
https://www.sjsu.edu/isss/index.php,international-isss,International Student and Scholar Services,yes,2628
https://www.sjsu.edu/aec/about/index.php,accessibility-aec,About | Accessible Education Center,yes,1621
https://www.sjsu.edu/aec/accomms/index.php,accessibility-aec,Accommodations | Accessible Education Center,yes,729
https://www.sjsu.edu/aec/accomms/testing/index.php,accessibility-aec,Testing Accommodations | Accessible Education Center,yes,5317
https://www.sjsu.edu/aec/index.php,accessibility-aec,Accessible Education Center,yes,521
https://www.sjsu.edu/eop/about/contact-us.php,eop-guardian-scholars,Contact Us  | Educational Opportunity Program,yes,654
https://www.sjsu.edu/eop/eop/apply.php,eop-guardian-scholars,Apply to EOP | Educational Opportunity Program,yes,4003
https://www.sjsu.edu/eop/eop/programs-and-services.php,eop-guardian-scholars,Programs & Services  | Educational Opportunity Program,yes,3106
https://www.sjsu.edu/eop/eop/what-is-eop.php,eop-guardian-scholars,What is EOP? | Educational Opportunity Program,yes,5792
https://www.sjsu.edu/eop/index.php,eop-guardian-scholars,Educational Opportunity Program,yes,1804
https://www.sjsu.edu/guardianscholars/index.php,eop-guardian-scholars,Guardian Scholars Program,yes,1715
https://www.sjsu.edu/veterans/about/contact-us.php,veterans,Contact Us | Veterans Resource Center,yes,657
https://www.sjsu.edu/veterans/benefits/benefits-overview.php,veterans,Benefits Overview | Veterans Resource Center,yes,6740
https://www.sjsu.edu/veterans/how-to-apply.php,veterans,How to Apply | Veterans Resource Center,yes,3220
https://www.sjsu.edu/veterans/index.php,veterans,Veterans Resource Center,yes,3447
https://www.sjsu.edu/titleixeo/get-help/index.php,title-ix,Get Help | Office for Civil Rights and Title IX,yes,7472
https://www.sjsu.edu/titleixeo/get-help/our-services/index.php,title-ix,Our Services | Office for Civil Rights and Title IX,yes,3418
https://www.sjsu.edu/ombudsperson/about/what-we-do.php,ombuds,What We Do  | Student Ombudsperson,yes,741
https://www.sjsu.edu/ombudsperson/index.php,ombuds,Student Ombudsperson,yes,661
https://www.sjsu.edu/studentaffairs/about/what-we-do.php,student-affairs-hub,What We Do | Student Affairs,yes,4087
https://www.sjsu.edu/studentaffairs/index.php,student-affairs-hub,Student Affairs,yes,3400
https://www.sjsu.edu/students/index.php,student-affairs-hub,Current Students,yes,541
https://careercenter.sjsu.edu/resources/resume-guide/,career-services,Resume Guide – Career Center San José State University,yes,8597
https://careercenter.sjsu.edu/resources/job-internship-search-guide-3/,career-services,Job/Internship Search Guide – Career Center San José State University,yes,10036
https://careercenter.sjsu.edu/resources/interviewing-guide-2/,career-services,Interviewing Guide – Career Center San José State University,yes,9711
https://careercenter.sjsu.edu/resources/career-guides/,career-services,Career Guides – Career Center San José State University,yes,3452
https://careercenter.sjsu.edu/resources/free-digital-career-tools/,career-services,Digital Career Tools – Career Center San José State University,yes,3939
https://careercenter.sjsu.edu/on-campus-jobs-federal-work-study/,career-services,On-Campus Jobs & Federal Work-Study – Career Center San José State University,yes,2587
https://careercenter.sjsu.edu/labor-market-insights/,career-services,Labor Market Insights – Career Center San José State University,yes,6837
https://careercenter.sjsu.edu/staff/,career-services,Meet Our Team – Career Center San José State University,yes,2244
https://careercenter.sjsu.edu/student-services-and-expectations/,career-services,Student Services and Expectations – Career Center San José State University,yes,17909
https://careercenter.sjsu.edu/channels/international-students/,career-services,International Students – Career Center San José State University,yes,8274
https://careercenter.sjsu.edu/channels/undeclared-students/,career-services,Undeclared Students – Career Center San José State University,yes,4697
https://careercenter.sjsu.edu/career-experiences/career-treks/,career-services,Career Treks – Career Center San José State University,yes,3431
https://careercenter.sjsu.edu/career-experiences/job-shadow-program/,career-services,Job Shadow Program – Career Center San José State University,yes,4126
https://careercenter.sjsu.edu/resources/professional-headshots-2/,career-services,Professional Headshots – Career Center San José State University,yes,1179
https://www.sjsu.edu/chhs-ssc/advising/disqualification-reinstatement.php,academic-advising,Disqualification and Reinstatement | CHHS Student Success Center,yes,1876
https://www.sjsu.edu/chhs-ssc/advising/index.php,academic-advising,Advising  | CHHS Student Success Center,yes,1216
https://www.sjsu.edu/chhs-ssc/advising/make-an-appointment.php,academic-advising,Make an Appointment at the CHHS SSC | CHHS Student Success Center,yes,1375
